,time,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,CapMrktFFUSD,DiffLast,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxTfrCnt,VtyDayRet180d,VtyDayRet30d
320,2019-12-01,1614335728.0,1432.0,38768836.06733297,38768836.06733297,2169888904.0,2209154778.52095,0.007928251121076233,0.011151639391149671,0.008,0.011252559204644241,19.448,27.35497142649015,85920.0,113.77998999999998,0.311726,120852.48585787912,85920.0,120852.48585787912,0.00018962275930544135,1.40656990058053,,25.848068677986824,1.14472380571416,0.000151494766803039,0.007530274599517691,1.0408538100884999,1.14472380571416,74248324.5222677,85939.448,120879.84082930563,27562680.0,342922680.0,2453.0,0.028391200000000002,5315.0,0.0785779644047924,0.07992914800309353
321,2019-12-02,1614335728.0,1424.0,37467874.43026603,37467874.43026603,2007975817.0,2288856834.725421,0.007739391143911439,0.010488182760592282,0.008,0.01084135179687184,16.779,22.738380224964075,85440.0,112.79449,0.309026,115785.63719059122,85440.0,115785.63719059122,0.0001851750619520745,1.3551689746089801,,21.18517083242446,1.17202408023456,0.000158003125173355,0.007742253605392641,1.06448793424055,1.17202408023456,74364132.89783852,85456.77900000001,115808.37557081619,27648120.0,343008120.0,2168.0,0.02509259,4605.0,0.07845709753637277,0.08034155430755756
322,2019-12-03,1614335728.0,1450.0,31849578.966515847,31849578.966515847,2297003419.0,2124479379.5006895,0.007920366132723112,0.00909533928780126,0.008,0.00918678670696672,17.305999999999997,19.87331634384576,87000.0,114.49393,0.313682,99906.30543826307,87000.0,99906.30543826307,0.0001571692039742835,1.1483483383708402,,1.8811577273147968,1.13523314414903,0.000155122255406195,0.00761631976376085,1.02534100270982,1.13523314414903,74464059.07659313,87017.306,99926.17875460692,27735120.0,343095120.0,2185.0,0.02528935,4729.0,0.0793733071791051,0.08625715180799312
323,2019-12-04,1614335728.0,1436.0,36702241.310175635,36702241.310175635,2299474237.0,2096503696.7604454,0.007936849659131683,0.010470408673937224,0.008,0.01055371753137904,22.12,29.181028974263047,86160.0,113.03721499999999,0.309691,113663.53781295227,86160.0,113663.53781295227,0.00018284282349503256,1.31921469142238,,2.378826670573981,1.11952949388192,0.000153224900058445,0.007591812914478841,1.01079386687871,1.11952949388192,74577751.79543506,86182.12,113692.71884192653,27821280.0,343181280.0,2787.0,0.03225694,5984.0,0.08001273444196683,0.08652084870633937
324,2019-12-05,1614335728.0,1437.0,35601069.622526534,35601069.622526534,2336517115.0,2253957248.553236,0.00795274329195034,0.010145164118133296,0.008,0.010205448606296241,19.858,25.33247480297884,86220.0,112.76638500000001,0.308949,109989.22235435773,86220.0,109989.22235435773,0.00017229418172853302,1.27568107578703,,-7.70846646427105,1.0795713117338,0.000149628311513735,0.00740968927937185,0.9752502575293059,1.0795713117338,74687766.35026422,86239.85800000001,110014.5548291607,27907500.0,343267500.0,2497.0,0.02890046,5389.0,0.07714480354868274,0.08572124796328187
325,2019-12-06,1614335728.0,1428.0,34491483.16254614,34491483.16254614,2241403629.0,2124088019.1281512,0.007972862453531598,0.00982367316158012,0.008,0.00985711038547136,21.447,26.42568080465053,85680.0,111.717375,0.306075,105569.65222839826,85680.0,105569.65222839826,0.0001635392518994743,1.23213879818392,,-9.421950101575224,1.07186029265882,0.000144766035615149,0.0072412033145338,0.965978197602152,1.07186029265882,74793362.42817342,85701.44699999999,105596.07790920294,27993180.0,343353180.0,2690.0,0.03113426,5794.0,0.0769832921693842,0.08588973881227327
326,2019-12-07,1614335728.0,1432.0,36228940.477841824,36228940.477841824,2167081234.0,2159882046.011173,0.007934395848776872,0.010237320816300115,0.008,0.01032196629602568,21.406999999999996,27.620291562377723,85920.0,111.687445,0.30599299999999996,110857.9180193158,85920.0,110857.9180193158,0.00017175655493863287,1.2902457870032098,,-1.133781256622019,1.11213058971744,0.000147610808883694,0.007479012731268759,1.0058574540462901,1.11213058971744,74904247.96648431,85941.40699999999,110885.53831087818,28079100.0,343439100.0,2698.0,0.03122685,5823.0,0.0769873548906034,0.08603523847169961
327,2019-12-08,1614335728.0,1435.0,32462014.504433215,32462014.504433215,2192159818.0,2120460205.1421602,0.007937649880095923,0.009148598466859328,0.008,0.00922046056962016,19.86,22.88979336408205,86100.0,111.57903999999999,0.305696,99235.20688053695,86100.0,99235.20688053695,0.000153083638594108,1.15255757120252,,-10.205780211756325,1.1686118607877098,0.000155564737580362,0.0079219759478599,1.0575481470518802,1.1686118607877098,75003506.06315821,86119.86,99258.09667390103,28165200.0,343525200.0,2502.0,0.02895833,5294.0,0.07731184876075861,0.0884224155886368
328,2019-12-09,1614335728.0,1441.0,36336417.14451165,36336417.14451165,2387935435.0,2172260064.5100627,0.008004533434076313,0.010295184987635674,0.008,0.01028935422400288,21.188000000000002,27.25135466227163,86460.0,111.702775,0.306035,111202.19577591111,86460.0,111202.19577591111,0.00017522199212067994,1.2861692780003602,,-5.825488971770606,1.15248533561897,0.000153074044204863,0.0076405290472847205,1.04276512702715,1.15248533561897,75114735.51028879,86481.18800000001,111229.44713057342,28251660.0,343611660.0,2647.0,0.03063657,5733.0,0.07614163891418609,0.09005423843510824
329,2019-12-10,1614335728.0,1434.0,36131484.92105462,36131484.92105462,2292127826.0,2259636937.8158994,0.007853708791208792,0.0100137329692923,0.008,0.01020025899661712,22.87,29.159990406579194,86040.0,110.82276,0.303624,109703.78550861713,86040.0,109703.78550861713,0.00017630201782583313,1.27503237457714,,-5.622184466226933,1.21035310541943,0.000164893133375702,0.008212716124858091,1.09421948356633,1.21035310541943,75224468.45578781,86062.87,109732.94549902368,28337700.0,343697700.0,2912.0,0.033703699999999996,6158.0,0.07606937421060185,0.09004778903590634
