,time,AdrActCnt,AssetEODCompletionTime,NVTAdj,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr
208,2021-07-13,146,1635523933,463.078532468892,637959.2540816149,110,0.0012731481479999998,156,1377.648086341533,11.212428546207796,2.0,1.78276959023
209,2021-07-14,126,1635524210,375.79503218821503,639375.9924547889,88,0.001018518519,136,1701.3955419574595,15.573196129300522,1.5383744384617142,1.782131838078
210,2021-07-15,132,1635524477,209.815797301949,640108.3268238986,86,0.00099537037,113,3050.8109258461145,44.97592324097986,3.82050645,1.788032656381
211,2021-07-16,113,1635524749,208.51158480540002,642953.6028486072,64,0.000740740741,93,3083.5389959203717,37.533562670890916,2.397484705519364,1.7855490788519999
212,2021-07-17,142,1635525018,462.089052303383,643621.0438423719,88,0.001018518519,117,1392.8506651133655,23.11305533762949,2.087701961795976,1.7878990312610001
213,2021-07-18,158,1635525288,81.914353191667,644507.4991141962,93,0.001076388889,129,7868.065534328814,76.29443806969171,1.0003798815032634,1.800710503588
214,2021-07-19,155,1635525562,77.065924058715,648720.0347885137,116,0.001342592593,165,8417.728622760245,53.08065569922167,1.0928852048017372,1.8025182956889998
215,2021-07-20,194,1635525826,74.07870751799,652038.452031465,119,0.001377314815,188,8801.968526153354,49.266305804611356,2.6224458795293786,1.8075495291819998
216,2021-07-21,172,1635526101,77.514461098056,656407.3416875944,143,0.001655092593,202,8468.192030094055,78.01173503688189,3.0002317,1.8195259126519998
217,2021-07-22,158,1635526372,234.159237340251,663993.3537142571,103,0.00119212963,153,2835.648771564048,33.752195383160824,2.437640669778424,1.8065154517570001
218,2021-07-23,156,1635526642,197.41426274404301,664796.4026904986,104,0.001203703704,154,3367.519618136404,31.09868633906727,3.521932941372261,1.811537255874
219,2021-07-24,159,1635526919,227.90241339045502,665555.7830359489,99,0.001145833333,137,2920.354256607556,25.27107639371224,1.7358795699891305,1.814672217259
220,2021-07-25,141,1635527196,1224.864914711871,666394.3897558297,87,0.001006944444,115,544.0554152149814,7.332118414018224,1.3,1.8136538973140002
221,2021-07-26,149,1635527478,469.764619153997,667142.849333086,68,0.0007870370369999999,95,1420.1641037474246,19.5355595324256,1.0119313528614118,1.814401010959
222,2021-07-27,154,1635527752,48.55364680415,672840.5281788746,97,0.0011226851850000001,131,13857.672337011165,107.25922079972409,1.571760998872126,1.8199195305959999
223,2021-07-28,138,1635528035,1027.869476571335,675652.708907144,66,0.000763888889,96,657.333177322202,7.4399775752616195,0.9954451675972,1.8134018259740001
224,2021-07-29,154,1635528319,1059.007898443325,676863.8932101243,88,0.001018518519,130,639.1490509231062,6.660510911047405,1.4940011340083752,1.811436146579
225,2021-07-30,156,1635528601,820.185360971296,685795.7732111563,126,0.001458333333,169,836.1472977267114,6.031409750570969,3.826224900241325,1.789330116423
226,2021-07-31,194,1635528892,48.970371416105,688262.9315399039,161,0.0018634259260000001,226,14054.680649482632,69.57446971336563,3.445213153829449,1.805761728439
227,2021-08-01,175,1635529187,199.744180572802,695697.9772689283,166,0.0019212962959999998,249,3482.9449112053694,17.79110830576695,5.0,1.792830923186
228,2021-08-02,210,1635529485,250.43463712441002,697273.9857290633,141,0.0016319444440000002,203,2784.2553799084694,16.215587596033323,3.110834603441959,1.7934995951700001
229,2021-08-03,185,1635529785,25.218979931042,724234.2761201235,195,0.0022569444440000003,272,28717.825943017597,113.71827544632735,4.341364053239022,1.769443982843
