,time,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d
1068,2018-03-03,1774.0,1614335600.0,1425.0,3262992726.8548274,1.99897608,0.7247382678801679,0.15,0.0543832121202897,7696.057908,2790.242331338646,0.0,0.0,0.0,0.0,0.0,0.0,127.46359245,21.01071888267861,3.1731566919929856e-05,0.36255474746859795,3904.0402103862975,-43.437265460428684,0.38289689986530495,3.47643787258913e-05,0.000447647887564621,0.310619713348261,0.38289689986530495,8999999999.0,3850.0,0.0445601851851852,3298.0,70608397.47309001,25599409.715018544,21409.4622416889,7762.102176474003,436.02664699999997,158.08353089266456,0.11215040611239588,0.08636400641723725
1069,2018-03-04,1875.0,1614335601.0,1427.0,3135455813.8781967,2.1338879739148604,0.7434123838577253,0.15,0.05225759690377635,10225.591171,3562.432143446216,0.0,0.0,0.0,0.0,0.0,0.0,69.37117787,20.13253278287384,3.0393147282291054e-05,0.34838397935850896,3442.2786271729633,-40.46296249860086,0.36255474746859795,3.1731566919929904e-05,0.000424344595345138,0.293106941150245,0.36255474746859795,8999999999.0,4792.0,0.05546296296296299,4137.0,129736877.412797,45198249.62261728,31360.1347384088,10925.36853338587,1500.0,522.5759690377636,0.11217852372713816,0.08538954130022583
1070,2018-03-05,3184.0,1614335601.0,1428.0,3080554840.92163,2.08476582799127,0.7135817182577866,0.1,0.0342283871251546,12423.119569,4252.233459098158,0.0,0.0,0.0,0.0,0.0,0.0,101.05503664,19.749135033820888,2.9658945192545708e-05,0.34228387125154597,2889.3075556562158,-45.43690020316543,0.34838397935850896,3.03931472822911e-05,0.00040456573003665896,0.28220485487254704,0.34838397935850896,8999999999.0,5959.0,0.0689699074074074,5309.0,89060380.34782109,30483931.760587316,16782.672875163502,5744.438241659277,799.52,273.66280074303603,0.112158182130628,0.08380011873842354
1071,2018-03-06,1877.0,1614335601.0,1428.0,2913227180.943554,2.65636690338522,0.8598444740400586,0.15,0.0485537863544541,10750.316858,3479.7905864401214,0.0,0.0,0.0,0.0,0.0,0.0,312.70179075,18.676190655821614,3.0316647087025587e-05,0.32369190902969397,2850.4973117451727,-40.91666530039465,0.34228387125154597,2.96589451925458e-05,0.000401926201460803,0.27675622302357106,0.34228387125154597,8999999999.0,4047.0,0.0468402777777778,3433.0,28781414.962613,9316311.153824002,8402.715107082142,2719.890894044067,587.559297,190.18819051407493,0.11221409637746917,0.08124672469214984
1072,2018-03-07,5984.0,1614335601.0,1438.0,2663635166.590541,0.44445624728598704,0.1315410322681509,0.1,0.0295959462987389,5363.253536,1587.3056363797755,0.0,0.0,0.0,0.0,0.0,0.0,397.11544146,17.080963045133462,2.988558227261336e-05,0.29595946298738895,2572.90984026712,-31.4039761013737,0.32369190902969397,3.0316647087025397e-05,0.00039846547182825,0.26069433450369395,0.32369190902969397,8999999999.0,12067.0,0.139664351851852,11141.0,22663435.0102901,6707458.05509505,2050.4638731074397,606.8541867599196,0.10000099999999999,0.02959624225820189,0.11231218410179168,0.07117123804737081
1073,2018-03-08,1493.0,1614335601.0,1425.0,3019535015.8874645,1.2910247681458502,0.4331438326919481,0.15,0.05032558360371615,3753.009001,1259.1491216354982,0.0,0.0,0.0,0.0,0.0,0.0,425.1614455,19.449022531347282,3.595785577950497e-05,0.33550389069144104,3546.3306450823247,-35.940856692131206,0.29595946298738895,2.9885582272613398e-05,0.000393691781673062,0.23989636848536897,0.29595946298738895,8999999999.0,2907.0,0.0336458333333333,2207.0,21168429.297239,7102090.38905037,9628.3154948976,3230.337309342832,325.0,109.0387644747183,0.11269626374519975,0.06517187749364516
1074,2018-03-09,1453.0,1614335601.0,1431.0,3012327863.342359,1.19410386204209,0.3996702595281976,0.15,0.0502054643946177,3064.07051,1025.553885949354,0.0,0.0,0.0,0.0,0.0,0.0,525.68117554,19.46399785870004,3.607437755698421e-05,0.33470309596411796,3647.617186681149,-35.12186972806546,0.33550389069144104,3.5957855779505e-05,0.00047974536580505097,0.27261780228625604,0.33550389069144104,8999999999.0,2566.0,0.0296990740740741,2169.0,17120643.496076003,5730332.383034579,7955.94582576118,2662.879699205069,318.0,106.43558451658951,0.112645298521569,0.06521147020006005
1075,2018-03-10,1256.0,1614335601.0,1425.0,3124805454.8365607,1.23308501482326,0.4281278645583414,0.15,0.05208009091972935,3244.246674,1126.4044116529972,0.0,0.0,0.0,0.0,0.0,0.0,499.40123171,20.20554409496442,3.951496255770125e-05,0.347200606131529,3804.583965710466,-35.25245693985399,0.33470309596411796,3.6074377556984206e-05,0.000461461550950862,0.271579235558769,0.33470309596411796,8999999999.0,2631.0,0.0304513888888889,2275.0,18021581.501064003,6257104.02061817,7939.9545059622,2756.7570171268403,321.0,111.4513945682208,0.11267214181005188,0.06515591526072212
1076,2018-03-11,1328.0,1614335601.0,1440.0,3129580067.46382,2.7118751006752597,0.9430033623853042,0.15,0.0521596677968592,8835.289078,3072.304954651323,0.0,0.0,0.0,0.0,0.0,0.0,72.53440768,20.19186869288546,3.655119827002199e-05,0.34773111864572803,3447.9074109848034,-40.2441541703334,0.347200606131529,3.9514962557701203e-05,0.000506950576783711,0.28194244415634195,0.347200606131529,8999999999.0,3258.0,0.0377083333333333,2880.0,124079044.50386499,43146144.945822045,43103.7644110642,14988.520216501272,3116.0035,1083.5313827590035,0.11265359981057173,0.06266837243339968
1077,2018-03-12,1650.0,1614335601.0,1419.0,3455471822.3517413,2.8758254191224597,1.1041481892094105,0.15,0.0575911970455947,13174.156245,5058.102854768313,0.0,0.0,0.0,0.0,0.0,0.0,96.31718348,22.272422931252688,4.197047691408526e-05,0.383941313637298,3764.021318136316,-31.724220633233145,0.34773111864572803,3.6551198270022e-05,0.000484268292729509,0.282480016409893,0.34773111864572803,8999999999.0,4581.0,0.0530208333333333,4178.0,93441270.534061,35875964.15678553,22381.8625021687,8593.321690732033,4728.69,1815.5394503835546,0.11272495855766235,0.06605038984993945
