,time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
798,2021-07-27,2,1627438169,869561555.0743151,0,0.0,5262.905364626991,448.6912741598327,7.223818045325627e-05,2.82643007784594,124.02406923397366,35.740046142492794,307653658.9,8,9.2592593e-05,8,58457.0,165224.62306064012,7307.125,20653.07788258001,5822.5,16456.889128257983,0.675515572962,0.04881973220574034,0.055533355343704
799,2021-07-28,2,1627524425,956291089.7209218,0,0.0,5312.984127724243,493.44659522104223,7.782672008709822e-05,3.10833647530828,146.86816606380586,29.502661893049968,307653658.9,8,9.2592593e-05,8,57906.0,179991.33193920125,7238.25,22498.91649240016,6856.5,21312.30904295122,0.675488458056,0.04928970969000431,0.0522467168990776
800,2021-07-29,2,1627610900,856031627.743964,0,0.0,9261.376287666695,441.9623173762562,6.941178663568547e-05,2.7824522900350397,120.65760660911648,19.773660585314715,307653658.9,8,9.2592593e-05,8,33219.0,92430.282622674,4152.375,11553.785327834248,3616.5,10062.73870691172,0.675473896227,0.05003158430656928,0.056172386135933214
801,2021-07-30,2,1627697637,931786543.0910698,0,0.0,7643.18937940972,481.1769540032487,7.247453507943951e-05,3.02868669406574,141.56156209118453,23.54144976048436,307653658.9,8,9.2592593e-05,8,40252.0,121910.69680953416,5031.5,15238.83710119177,5153.0,15606.822534520757,0.675529156418,0.05039407140262081,0.05735361853772265
802,2021-07-31,2,1627783990,942939448.7127526,0,0.0,5619.6554798524085,486.76184094031686,7.333561079430703e-05,3.06493819083506,141.14157688197722,28.66818357208675,307653658.9,8,9.2592593e-05,8,54746.0,167793.1061954562,6843.25,20974.138274432025,4087.5,12527.934855038307,0.675587540252,0.050396662745019236,0.0569572898250699
803,2021-08-01,2,1627870443,962160505.1648386,0,0.0,5477.090649979527,496.8272387408138,7.824606322539879e-05,3.12741447186097,144.51189870640118,34.214823037130216,307653658.9,8,9.2592593e-05,8,56171.0,175669.99829890253,7021.375,21958.749787362816,6835.0,21375.877915169727,0.67556690341,0.05040933140791695,0.056700460345171635
804,2021-08-02,2,1627956908,950958735.4003072,0,0.0,5501.478110582597,491.53594279106994,7.864312784332452e-05,3.09100414667718,146.90007862411778,31.305859514037124,307653658.9,8,9.2592593e-05,8,55922.0,172855.13389048126,6990.25,21606.89173631016,4775.0,14759.544800383534,0.6754749136049999,0.05042269587206629,0.05683620162629606
805,2021-08-03,2,1628043111,922578065.7166744,0,0.0,7010.770888498962,476.89566958901224,7.831933604215163e-05,2.99875538296962,131.26400314133042,25.078617074893934,307653658.9,8,9.2592593e-05,8,43883.0,131594.38247085584,5485.375,16449.29780885698,4717.5,14146.628519159185,0.675467460419,0.05048488744023651,0.05725542495162026
806,2021-08-04,2,1628129286,922761080.8187757,0,0.0,7714.291489681803,476.66279501311243,7.540998999220209e-05,2.9993502567727,136.67290810759405,18.190449170315386,307653658.9,8,9.2592593e-05,8,39881.0,119617.08759035204,4985.125,14952.135948794006,4520.5,13558.562835740991,0.6755080775210001,0.05048401177290908,0.05649969935768431
807,2021-08-05,2,1628215475,921983363.110953,0,0.0,5375.553167808219,475.79267731442366,7.319739983392101e-05,2.99682235669635,134.2123451608034,11.64031702560764,307653658.9,8,9.2592593e-05,8,57232.0,171514.1371184455,7154.0,21439.26713980569,7294.5,21860.320680921523,0.6755701928229999,0.05048522584377412,0.055692068766924285
